iter	Passed	Remaining
0	143	143006
1	144	72331
2	145	48466
3	146	36547
4	148	29482
5	148	24668
6	149	21204
7	150	18636
8	150	16617
9	151	15009
10	152	13701
11	153	12608
12	153	11686
13	154	10886
14	155	10187
15	155	9579
16	156	9041
17	156	8562
18	157	8134
19	158	7758
20	158	7412
21	159	7090
22	160	6811
23	161	6556
24	161	6314
25	162	6091
26	163	5882
27	163	5684
28	164	5502
29	164	5332
30	165	5177
31	166	5037
32	167	4908
33	168	4776
34	168	4650
35	169	4531
36	169	4421
37	170	4314
38	171	4225
39	172	4142
40	173	4058
41	174	3980
42	175	3902
43	176	3825
44	176	3750
45	177	3677
46	177	3607
47	178	3541
48	179	3477
49	179	3416
50	180	3357
51	181	3301
52	181	3249
53	182	3195
54	182	3143
55	183	3094
56	184	3046
57	184	3001
58	185	2957
59	185	2912
60	186	2869
61	186	2828
62	187	2787
63	187	2749
64	188	2711
65	189	2676
66	189	2640
67	190	2606
68	190	2572
69	191	2540
70	191	2509
71	192	2479
72	192	2448
73	193	2419
74	193	2391
75	194	2364
76	195	2338
77	195	2313
78	196	2289
79	196	2265
80	197	2242
81	198	2218
82	198	2192
83	198	2169
84	199	2147
85	200	2127
86	200	2105
87	201	2085
88	201	2064
89	202	2044
90	202	2024
91	203	2005
92	203	1987
93	204	1969
94	204	1951
95	205	1933
96	205	1916
97	206	1899
98	206	1882
99	207	1866
100	207	1850
101	208	1835
102	208	1819
103	209	1804
104	210	1791
105	211	1779
106	211	1765
107	212	1752
108	212	1739
109	213	1727
110	214	1714
111	214	1700
112	215	1687
113	215	1674
114	215	1661
115	216	1649
116	216	1636
117	217	1625
118	217	1613
119	218	1601
120	218	1590
121	219	1578
122	219	1567
123	220	1556
124	220	1546
125	221	1536
126	221	1524
127	222	1514
128	222	1504
129	223	1494
130	223	1485
131	224	1475
132	224	1466
133	225	1457
134	226	1449
135	226	1441
136	227	1432
137	227	1423
138	228	1414
139	228	1406
140	229	1397
141	229	1388
142	230	1379
143	230	1371
144	231	1363
145	231	1355
146	232	1347
147	232	1339
148	233	1331
149	233	1323
150	234	1316
151	234	1308
152	235	1301
153	235	1294
154	236	1286
155	236	1279
156	237	1272
157	237	1266
158	238	1259
159	238	1252
160	238	1244
161	239	1237
162	239	1231
163	240	1224
164	240	1218
165	241	1212
166	241	1206
167	242	1199
168	242	1193
169	243	1187
170	243	1182
171	244	1176
172	245	1171
173	245	1165
174	245	1159
175	246	1153
176	246	1148
177	247	1142
178	247	1136
179	248	1131
180	248	1126
181	249	1120
182	249	1115
183	250	1110
184	250	1105
185	251	1099
186	251	1095
187	252	1090
188	252	1085
189	253	1080
190	253	1075
191	254	1070
192	254	1065
193	255	1060
194	255	1056
195	256	1051
196	256	1047
197	257	1042
198	257	1037
199	258	1034
200	259	1029
201	259	1025
202	260	1021
203	260	1017
204	261	1013
205	261	1008
206	262	1004
207	262	1000
208	263	996
209	263	992
210	264	988
211	264	984
212	265	980
213	265	975
214	266	972
215	266	968
216	267	964
217	267	960
218	268	956
219	268	952
220	269	948
221	269	945
222	270	941
223	270	937
224	271	934
225	271	931
226	272	927
227	272	924
228	273	920
229	273	917
230	274	913
231	274	910
232	275	906
233	275	903
234	276	899
235	276	896
236	277	892
237	277	889
238	278	886
239	278	882
240	279	879
241	279	876
242	280	873
243	280	869
244	281	866
245	281	863
246	282	860
247	282	856
248	283	853
249	283	850
250	284	847
251	284	844
252	284	841
253	285	838
254	285	835
255	286	832
256	287	829
257	287	827
258	288	824
259	288	821
260	289	818
261	289	816
262	290	813
263	291	811
264	291	809
265	292	806
266	292	803
267	293	801
268	293	798
269	294	795
270	294	792
271	295	790
272	295	787
273	296	785
274	296	782
275	297	779
276	297	777
277	298	774
278	298	771
279	299	769
280	299	767
281	300	764
282	300	762
283	301	759
284	301	757
285	302	755
286	303	754
287	304	751
288	304	749
289	305	746
290	305	744
291	306	742
292	306	740
293	307	738
294	307	735
295	308	733
296	308	730
297	309	728
298	309	726
299	310	724
300	310	721
301	311	719
302	311	717
303	312	714
304	312	712
305	313	710
306	313	708
307	314	706
308	315	705
309	316	703
310	316	701
311	317	699
312	317	697
313	318	695
314	319	694
315	319	692
316	320	690
317	320	688
318	321	685
319	321	683
320	322	681
321	322	679
322	323	677
323	323	675
324	324	673
325	324	671
326	325	669
327	325	667
328	326	665
329	326	663
330	327	661
331	327	659
332	328	657
333	328	655
334	329	653
335	329	651
336	330	649
337	330	648
338	331	646
339	332	644
340	332	643
341	333	641
342	333	639
343	334	637
344	334	635
345	335	633
346	335	631
347	336	629
348	336	628
349	337	626
350	337	624
351	338	622
352	338	620
353	339	618
354	339	617
355	340	615
356	340	613
357	341	611
358	341	609
359	342	608
360	342	606
361	343	604
362	343	602
363	344	601
364	344	599
365	344	597
366	345	595
367	346	594
368	346	592
369	347	591
370	347	589
371	348	587
372	348	586
373	349	584
374	349	582
375	350	581
376	350	579
377	351	577
378	351	576
379	352	574
380	352	572
381	353	571
382	353	569
383	354	568
384	354	566
385	355	564
386	355	563
387	356	561
388	356	560
389	357	558
390	357	557
391	358	555
392	358	553
393	359	552
394	359	550
395	360	549
396	360	547
397	360	545
398	361	544
399	361	542
400	362	541
401	362	539
402	363	538
403	363	536
404	364	535
405	364	533
406	365	532
407	365	530
408	366	529
409	366	527
410	367	526
411	367	524
412	368	523
413	368	521
414	369	520
415	369	519
416	370	517
417	370	515
418	371	514
419	371	513
420	372	511
421	372	510
422	373	508
423	373	507
424	374	506
425	374	504
426	374	503
427	375	501
428	375	500
429	376	499
430	376	497
431	377	496
432	378	495
433	378	493
434	379	492
435	379	490
436	380	489
437	380	488
438	381	487
439	381	485
440	382	484
441	382	483
442	383	482
443	383	480
444	384	479
445	384	477
446	385	476
447	385	475
448	386	473
449	386	472
450	387	471
451	387	469
452	388	468
453	388	467
454	389	466
455	389	464
456	390	463
457	390	462
458	391	460
459	391	459
460	391	458
461	392	457
462	392	455
